productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extUPC
475417,Sprigatito,Sprigatito,https://tcgplayer-cdn.tcgplayer.com/product/475417_200w.jpg,3,22873,https://cpt.tcgcsv.com/mbQ5,2024-10-15T15:44:29.32,1,013/198,Common,Grass,70,Basic,[1] Scratch (10),[1G] Leafage (20),Rx2,None,1,0.01,0.15,89.0,0.13,,Reverse Holofoil,,
475417,Sprigatito,Sprigatito,https://tcgplayer-cdn.tcgplayer.com/product/475417_200w.jpg,3,22873,https://cpt.tcgcsv.com/mbQ5,2024-10-15T15:44:29.32,1,013/198,Common,Grass,70,Basic,[1] Scratch (10),[1G] Leafage (20),Rx2,None,1,0.01,0.1,4.95,0.08,,Normal,,
475418,Fuecoco,Fuecoco,https://tcgplayer-cdn.tcgplayer.com/product/475418_200w.jpg,3,22873,https://cpt.tcgcsv.com/nbQ5,2025-02-07T20:20:33.193,1,036/198,Common,Fire,80,Basic,[1] Gnaw (10),[1RR] Combustion (50),Wx2,,2,0.02,0.15,4.95,0.11,,Reverse Holofoil,,
475418,Fuecoco,Fuecoco,https://tcgplayer-cdn.tcgplayer.com/product/475418_200w.jpg,3,22873,https://cpt.tcgcsv.com/nbQ5,2025-02-07T20:20:33.193,1,036/198,Common,Fire,80,Basic,[1] Gnaw (10),[1RR] Combustion (50),Wx2,,2,0.01,0.1,4.95,0.07,,Normal,,
475419,Quaxly,Quaxly,https://tcgplayer-cdn.tcgplayer.com/product/475419_200w.jpg,3,22873,https://cpt.tcgcsv.com/pbQ5,2025-02-07T20:20:33.243,1,052/198,Common,Water,70,Basic,[1] Pound (10),[1W] Kick (20),Lx2,,1,0.01,0.1,4.95,0.05,,Normal,,
475419,Quaxly,Quaxly,https://tcgplayer-cdn.tcgplayer.com/product/475419_200w.jpg,3,22873,https://cpt.tcgcsv.com/pbQ5,2025-02-07T20:20:33.243,1,052/198,Common,Water,70,Basic,[1] Pound (10),[1W] Kick (20),Lx2,,1,0.02,0.2,89.0,0.17,,Reverse Holofoil,,
475420,Miraidon ex - 081/198,Miraidon ex 081 198,https://tcgplayer-cdn.tcgplayer.com/product/475420_200w.jpg,3,22873,https://cpt.tcgcsv.com/qbQ5,2024-11-04T20:08:46.013,1,081/198,Double Rare,Lightning,220,Basic,"[1LL] Photon Blaster (220)
<br>
During your next turn, this Pokémon can't attack.",,Fx2,,1,0.1,0.67,15.99,0.53,0.99,Holofoil,"<strong>Ability — Tandem Unit</strong>
<br>
Once during your turn, you may search your deck for up to 2 Basic Lightning Pokémon and put them onto your Bench. Then, shuffle your deck.
<br><br>
<em>Pokémon ex rule — When a Pokémon ex has been Knocked Out, your opponent takes 2 Prize cards.</em>",
475421,Koraidon ex - 125/198,Koraidon ex 125 198,https://tcgplayer-cdn.tcgplayer.com/product/475421_200w.jpg,3,22873,https://cpt.tcgcsv.com/rbQ5,2025-02-07T20:20:33.29,1,125/198,Double Rare,Fighting,230,Basic,"[1FF] Wild Impact (220)
<br>
During your next turn, this Pokémon can't attack.",,Px2,,2,0.2,0.63,50.0,0.56,0.56,Holofoil,"<strong>Ability — Dino Cry</strong>
<br>
Once during your turn, you may attach up to 2 Basic Fighting Energy cards from your discard pile to your Basic Fighting Pokémon in any way you like. If you use this ability, your turn ends.
<br><br>
<em>Pokémon ex rule — When a Pokémon ex has been Knocked Out, your opponent takes 2 Prize cards.</em>",
475423,Professor's Research - 189/198,Professors Research 189 198,https://tcgplayer-cdn.tcgplayer.com/product/475423_200w.jpg,3,22873,https://cpt.tcgcsv.com/tbQ5,2024-10-08T16:42:30.417,1,189/198,Rare,Supporter,,,,,,,,0.08,0.25,4.95,0.18,0.2,Reverse Holofoil,"Discard your hand and draw 7 cards.
<br><br>
You may play only 1 Supporter card during your turn.",
475423,Professor's Research - 189/198,Professors Research 189 198,https://tcgplayer-cdn.tcgplayer.com/product/475423_200w.jpg,3,22873,https://cpt.tcgcsv.com/tbQ5,2024-10-08T16:42:30.417,1,189/198,Rare,Supporter,,,,,,,,0.01,0.23,4.95,0.14,0.16,Holofoil,"Discard your hand and draw 7 cards.
<br><br>
You may play only 1 Supporter card during your turn.",
475424,Professor's Research - 190/198,Professors Research 190 198,https://tcgplayer-cdn.tcgplayer.com/product/475424_200w.jpg,3,22873,https://cpt.tcgcsv.com/vbQ5,2024-11-09T04:07:40.497,1,190/198,Rare,Supporter,,,,,,,,0.01,0.15,4.95,0.1,,Holofoil,"Discard your hand and draw 7 cards.
<br><br>
You may play only 1 Supporter card during your turn.",
475424,Professor's Research - 190/198,Professors Research 190 198,https://tcgplayer-cdn.tcgplayer.com/product/475424_200w.jpg,3,22873,https://cpt.tcgcsv.com/vbQ5,2024-11-09T04:07:40.497,1,190/198,Rare,Supporter,,,,,,,,0.02,0.2,4.95,0.17,0.16,Reverse Holofoil,"Discard your hand and draw 7 cards.
<br><br>
You may play only 1 Supporter card during your turn.",
475425,Basic Grass Energy,Basic Grass Energy,https://tcgplayer-cdn.tcgplayer.com/product/475425_200w.jpg,3,22873,https://cpt.tcgcsv.com/wbQ5,2023-03-31T04:03:37.037,1,001,Common,Basic Energy,,,,,,,,0.01,0.07,19.95,0.05,,Normal,,
475426,Basic Fire Energy,Basic Fire Energy,https://tcgplayer-cdn.tcgplayer.com/product/475426_200w.jpg,3,22873,https://cpt.tcgcsv.com/xbQ5,2023-03-31T04:03:37.037,1,002,Common,Basic Energy,,,,,,,,0.01,0.07,19.95,0.04,0.01,Normal,,
475427,Basic Water Energy,Basic Water Energy,https://tcgplayer-cdn.tcgplayer.com/product/475427_200w.jpg,3,22873,https://cpt.tcgcsv.com/zbQ5,2024-11-09T04:08:57.81,1,003,Common,Basic Energy,,,,,,,,0.01,0.07,19.95,0.03,,Normal,,
475428,Basic Lightning Energy,Basic Lightning Energy,https://tcgplayer-cdn.tcgplayer.com/product/475428_200w.jpg,3,22873,https://cpt.tcgcsv.com/BbQ5,2024-11-04T19:12:48.787,1,004,Common,Basic Energy,,,,,,,,0.01,0.06,19.95,0.03,0.03,Normal,,
475429,Basic Psychic Energy,Basic Psychic Energy,https://tcgplayer-cdn.tcgplayer.com/product/475429_200w.jpg,3,22873,https://cpt.tcgcsv.com/CbQ5,2024-10-02T19:00:07.037,1,005,Common,Basic Energy,,,,,,,,0.01,0.06,29.0,0.06,,Normal,,
475430,Basic Fighting Energy,Basic Fighting Energy,https://tcgplayer-cdn.tcgplayer.com/product/475430_200w.jpg,3,22873,https://cpt.tcgcsv.com/DbQ5,2024-11-04T11:09:49.39,1,006,Common,Basic Energy,,,,,,,,0.01,0.05,19.95,0.04,0.03,Normal,,
475431,Basic Darkness Energy,Basic Darkness Energy,https://tcgplayer-cdn.tcgplayer.com/product/475431_200w.jpg,3,22873,https://cpt.tcgcsv.com/FbQ5,2023-03-31T04:03:37.037,1,007,Common,Basic Energy,,,,,,,,0.01,0.05,19.95,0.04,,Normal,,
475432,Basic Metal Energy,Basic Metal Energy,https://tcgplayer-cdn.tcgplayer.com/product/475432_200w.jpg,3,22873,https://cpt.tcgcsv.com/GbQ5,2023-03-31T04:03:37.037,1,008,Common,Basic Energy,,,,,,,,0.01,0.05,19.95,0.04,0.02,Normal,,
475443,Rock Chestplate,Rock Chestplate,https://tcgplayer-cdn.tcgplayer.com/product/475443_200w.jpg,3,22873,https://cpt.tcgcsv.com/TbQ5,2025-02-07T20:20:33.417,1,192/198,Uncommon,Tool,,,,,,,,0.01,0.1,4.95,0.09,0.05,Normal,"The Fighting Pokémon this card is attached to takes 30 less damage from attacks from your opponent's Pokémon <em>(after applying Weakness and Resistance)</em>.
<br><br>
You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached.",
475443,Rock Chestplate,Rock Chestplate,https://tcgplayer-cdn.tcgplayer.com/product/475443_200w.jpg,3,22873,https://cpt.tcgcsv.com/TbQ5,2025-02-07T20:20:33.417,1,192/198,Uncommon,Tool,,,,,,,,0.02,0.2,4.95,0.17,,Reverse Holofoil,"The Fighting Pokémon this card is attached to takes 30 less damage from attacks from your opponent's Pokémon <em>(after applying Weakness and Resistance)</em>.
<br><br>
You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached.",
475651,Code Card - Paldea Collection [Fuecoco],Code Card Paldea Collection Fuecoco,https://tcgplayer-cdn.tcgplayer.com/product/475651_200w.jpg,3,22873,https://cpt.tcgcsv.com/2hQ5,2023-01-06T05:03:11.367,1,,Code Card,,,,,,,,,0.05,0.1,1.14,0.1,,Normal,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",
475652,Code Card - Paldea Collection [Sprigatito],Code Card Paldea Collection Sprigatito,https://tcgplayer-cdn.tcgplayer.com/product/475652_200w.jpg,3,22873,https://cpt.tcgcsv.com/3hQ5,2023-01-06T05:03:11.367,1,,Code Card,,,,,,,,,0.05,0.1,1.14,0.08,,Normal,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",
475653,Code Card - Paldea Collection [Quaxly],Code Card Paldea Collection Quaxly,https://tcgplayer-cdn.tcgplayer.com/product/475653_200w.jpg,3,22873,https://cpt.tcgcsv.com/5hQ5,2023-01-06T05:03:11.367,1,,Code Card,,,,,,,,,0.05,0.1,1.14,0.07,,Normal,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",
476451,Scarlet & Violet Booster Pack,Scarlet and Violet Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/476451_200w.jpg,3,22873,https://cpt.tcgcsv.com/2CQ5,2023-10-13T18:57:24.53,1,,,,,,,,,,,3.98,5.74,99999.99,5.51,,Normal,"Begin a New Adventure with Pokémon ex!Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!
<br>
Each Scarlet & Violet: Base Set - Booster Pack contains 10 randomly inserted game cards.
<br>
Cards vary by pack. Pack may vary by product.",0820650853241
476452,Scarlet & Violet Booster Box,Scarlet and Violet Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/476452_200w.jpg,3,22873,https://cpt.tcgcsv.com/3CQ5,2023-03-31T04:03:37.037,1,,,,,,,,,,,180.0,200.0,3250.0,183.14,,Normal,"Begin a New Adventure with Pokémon ex!
<br>Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!
<br><br>Each Scarlet & Violet booster box contains 36 Scarlet & Violet booster packs.",0820650863240
476453,Scarlet & Violet Booster Box Case,Scarlet and Violet Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/476453_200w.jpg,3,22873,https://cpt.tcgcsv.com/5CQ5,2023-03-31T04:03:37.037,1,,,,,,,,,,,1099.0,1499.95,6000.0,1033.67,,Normal,More information coming soon.,0820650873249
478253,Scarlet & Violet Build & Battle Box,Scarlet and Violet Build and Battle Box,https://tcgplayer-cdn.tcgplayer.com/product/478253_200w.jpg,3,22873,https://cpt.tcgcsv.com/5kR5,2024-12-23T20:00:54.087,1,,,,,,,,,,,21.84,25.0,35.0,22.74,,Normal,"Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!
<br><br>Contents:
<br>• A 40-card ready-to-play deck, including 1 of 4 unique foil promo cards
<br>• 4 Pokémon TCG: Scarlet & Violet booster packs
<br>• A code card for Pokémon TCG Live",0820650853463
478254,Scarlet & Violet Build & Battle Box Display,Scarlet and Violet Build and Battle Box Display,https://tcgplayer-cdn.tcgplayer.com/product/478254_200w.jpg,3,22873,https://cpt.tcgcsv.com/6kR5,2024-12-23T20:01:07.64,1,,,,,,,,,,,269.99,288.99,289.9,124.19,,Normal,Each display contains 10 Scarlet & Violet Build and Battle Boxes.,0820650863462
478257,Scarlet & Violet Build & Battle Stadium,Scarlet and Violet Build and Battle Stadium,https://tcgplayer-cdn.tcgplayer.com/product/478257_200w.jpg,3,22873,https://cpt.tcgcsv.com/9kR5,2024-12-23T20:01:16.737,1,,,,,,,,,,,62.0,69.99,125.98,57.98,,Normal,"The Build & Battle Stadium includes everything two players need to battle. 
<br>Inside this box, you’ll find:
<br>• 2 individual Build & Battle Boxes, each containing a ready-to-play 40-card deck
<br>• Each deck includes 1 of 4 foil promo cards
<br>• 3 additional Scarlet & Violet booster packs, so you get 11 in all
<br>• 121 Basic Energy cards
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 coin condition markers
<br>• A collector’s box to hold everything",0820650853470
478258,Scarlet & Violet Booster Bundle,Scarlet and Violet Booster Bundle,https://tcgplayer-cdn.tcgplayer.com/product/478258_200w.jpg,3,22873,https://cpt.tcgcsv.com/bkR5,2023-03-31T04:03:37.037,2,,,,,,,,,,,42.95,49.93,50.0,46.5,,Normal,"Set out for a journey in the Paldea region! Meet first partners Sprigatito, Fuecoco, and Quaxly, and explore the power of the Legendary Pokémon Koraidon and Miraidon as Pokémon ex. Other Pokémon ex evolve their way into battle—including Arcanine and Gyarados with a dazzling new look. Even more Pokémon appear as illustration rare cards with amazing artwork—discover them all in the Pokémon TCG: Scarlet & Violet expansion!
<br>Expand your collection with this Booster Bundle containing six booster packs from Pokémon TCG: Scarlet & Violet!",0820650853371
478273,Scarlet & Violet Sleeved Booster Pack,Scarlet and Violet Sleeved Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/478273_200w.jpg,3,22873,https://cpt.tcgcsv.com/tkR5,2023-03-31T04:03:37.037,1,,,,,,,,,,,4.98,5.99,14.81,5.49,,Normal,Each Scarlet & Violet Sleeved Booster Pack contains 10 random cards.,0820650853258
478274,Scarlet & Violet Sleeved Booster Pack Art Bundle [Set of 4],Scarlet and Violet Sleeved Booster Pack Art Bundle Set of 4,https://tcgplayer-cdn.tcgplayer.com/product/478274_200w.jpg,3,22873,https://cpt.tcgcsv.com/vkR5,2023-03-31T04:03:37.037,1,,,,,,,,,,,22.99,24.95,25.99,20.56,,Normal,"Collect each of the 4 unique art packs for Scarlet & Violet.
<br>Each Scarlet & Violet Sleeved Booster Pack contains 10 random cards.",0820650853258
478275,Scarlet & Violet Sleeved Booster Pack Bundle [Set of 8],Scarlet and Violet Sleeved Booster Pack Bundle Set of 8,https://tcgplayer-cdn.tcgplayer.com/product/478275_200w.jpg,3,22873,https://cpt.tcgcsv.com/wkR5,2023-03-31T04:03:37.037,1,,,,,,,,,,,41.0,46.5,49.99,38.24,,Normal,"Contains 8 Sleeved Booster packs for Scarlet & Violet.
<br>Each Scarlet & Violet Sleeved Booster Pack contains 10 random cards.",
478335,Scarlet & Violet Elite Trainer Box [Koraidon],Scarlet and Violet Elite Trainer Box Koraidon,https://tcgplayer-cdn.tcgplayer.com/product/478335_200w.jpg,3,22873,https://cpt.tcgcsv.com/KlR5,2023-03-31T04:03:37.037,2,,,,,,,,,,,55.0,73.0,144.99,67.17,,Normal,"The Pokémon TCG: Scarlet & Violet Elite Trainer Box includes:
• 9 Pokémon TCG: Scarlet & Violet booster packs
• 1 full-art foil promo card featuring Koraidon
• 65 card sleeves featuring Koraidon
• 45 Pokémon TCG Energy cards
• A player’s guide to the Scarlet & Violet expansion
• 6 damage-counter dice
• 1 competition-legal coin-flip die
• 2 plastic condition markers
• A collector’s box to hold everything, with 4 dividers to keep it organized
• A code card for Pokémon Trading Card Game Live",0820650853418
478336,Scarlet & Violet Elite Trainer Box [Miraidon],Scarlet and Violet Elite Trainer Box Miraidon,https://tcgplayer-cdn.tcgplayer.com/product/478336_200w.jpg,3,22873,https://cpt.tcgcsv.com/LlR5,2023-03-31T04:03:37.037,2,,,,,,,,,,,65.0,78.5,150.0,70.42,,Normal,"The Pokémon TCG: Scarlet & Violet Elite Trainer Box includes:
• 9 Pokémon TCG: Scarlet & Violet booster packs
• 1 full-art foil promo card featuring Miraidon
• 65 card sleeves featuring Miraidon
• 45 Pokémon TCG Energy cards
• A player’s guide to the Scarlet & Violet expansion
• 6 damage-counter dice
• 1 competition-legal coin-flip die
• 2 plastic condition markers
• A collector’s box to hold everything, with 4 dividers to keep it organized
• A code card for Pokémon Trading Card Game Live",0820650853418
